errorCode	errorNum         errorMsg
889	ORA-01133     length of log file name '' exceeds limit of characters
890	ORA-01134     database mounted exclusive by another instance
891	ORA-01135     file accessed for DML/query is offline
892	ORA-01136     specified size of file ( blocks) is less than original size of blocks
893	ORA-01137     data file is still in the middle of going offline
894	ORA-01138     database must either be open in this instance or not at all
895	ORA-01139     RESETLOGS option only valid after an incomplete database recovery
896	ORA-01140     cannot end online backup - all files are offline or readonly
897	ORA-01141     error renaming data file - new file '' not found
898	ORA-01142     cannot end online backup - none of the files are in backup
899	ORA-01143     cannot disable media recovery - file needs media recovery
900	ORA-01144     File size ( blocks) exceeds maximum of blocks
901	ORA-01145     offline immediate disallowed unless media recovery enabled
902	ORA-01146     cannot start online backup - file is already in backup
903	ORA-01147     SYSTEM tablespace file is offline
904	ORA-01148     cannot refresh file size for datafile
905	ORA-01149     cannot shutdown - file has online backup set
906	ORA-01150     cannot prevent writes - file has online backup set
907	ORA-01151     use media recovery to recover block, restore backup if needed
908	ORA-01152     file was not restored from a sufficiently old backup
909	ORA-01153     an incompatible media recovery is active
910	ORA-01154     database busy. Open, close, mount, and dismount not allowed now
911	ORA-01155     the database is being opened, closed, mounted or dismounted
912	ORA-01156     recovery in progress may need access to files
913	ORA-01157     cannot identify/lock data file - see DBWR trace file
914	ORA-01158     database already mounted
915	ORA-01159     file is not from same database as previous files - wrong database id
916	ORA-01160     file is not a
917	ORA-01161     database name in file header does not match given name of
918	ORA-01162     block size in file header does not match configured block sizes
919	ORA-01163     SIZE clause indicates (blocks), but should match header
920	ORA-01164     MAXLOGFILES may not exceed
921	ORA-01165     MAXDATAFILES may not exceed
922	ORA-01166     file number is larger than ()
923	ORA-01167     two files are the same file/group number or the same file
924	ORA-01168     physical block size does not match size of other members
925	ORA-01169     DATAFILE number 1 not found. Must be present
926	ORA-01170     file not found ''
927	ORA-01171     datafile going offline due to error advancing checkpoint
928	ORA-01172     recovery of thread stuck at block of file
929	ORA-01173     data dictionary indicates missing data file from system tablespace
930	ORA-01174     DB_FILES is buts needs to be to be compatible
931	ORA-01175     data dictionary has more than the files allowed by the instance
932	ORA-01176     data dictionary has more than the files allowed by the controlfie
933	ORA-01177     data file does not match dictionary - probably old incarnation
934	ORA-01178     file created before last CREATE CONTROLFILE, cannot recreate
935	ORA-01179     file does not exist
936	ORA-01180     can not create datafile 1
937	ORA-01181     file created before last known RESETLOGS, cannot recreate
938	ORA-01182     cannot create database file - file is in use or recovery
939	ORA-01183     cannot mount database in SHARED mode
940	ORA-01184     logfile group already exists
941	ORA-01185     logfile group number is invalid
942	ORA-01186     file failed verification tests
943	ORA-01187     cannot read from file because it failed verification tests
944	ORA-01188     Block size in header does not match physical block size
945	ORA-01189     file is from a different RESETLOGS than previous files
946	ORA-01190     control file or data file is from before the last RESETLOGS
947	ORA-01191     file is already offline - cannot do a normal offline
948	ORA-01192     must have at least one enabled thread
949	ORA-01193     file is not the same file seen at start of recovery
950	ORA-01194     file needs more recovery to be consistent
951	ORA-01195     online backup of file needs more recovery to be consistent
952	ORA-01196     file is inconsistent due to a failed media recovery session
953	ORA-01197     thread only contains one log
954	ORA-01198     must specify size for log file if RESETLOGS
955	ORA-01199     file is not in online backup mode
956	ORA-01200     actual file size of is smaller than correct size of blocks
957	ORA-01201     file header failed to write correctly
958	ORA-01202     wrong incarnation of this file - wrong creation time
959	ORA-01203     wrong incarnation of this file - wrong creation SCN
960	ORA-01204     file number is rather than - wrong file
961	ORA-01205     not a data file - type number in header is
962	ORA-01206     file is not part of this database - wrong database id
963	ORA-01207     file is more recent than control file - old control file
964	ORA-01208     data file is an old version - not accessing current version
965	ORA-01209     data file is from before the last RESETLOGS
966	ORA-01210     data file header is media corrupt
967	ORA-01211     Oracle7 data file is not from migration to Oracle8
968	ORA-01212     MAXLOGMEMBERS may not exceed
969	ORA-01213     MAXINSTANCES may not exceed
970	ORA-01214     MAXLOGHISTORY may not exceed
971	ORA-01215     enabled thread is missing after CREATE CONTROLFILE
972	ORA-01216     thread is expected to be disabled after CREATE CONTROLFILE
973	ORA-01217     logfile member belongs to a different logfile group
974	ORA-01218     logfile member is not from the same point-in-time
975	ORA-01219     database not open     queries allowed on fixed tables/views only
976	ORA-01220     file based sort illegal before database is open
977	ORA-01221     data file is not the same file to a background process
978	ORA-01222     MAXINSTANCES of requires MAXLOGFILES be at least , not
979	ORA-01223     RESETLOGS must be specified to set a new database name
980	ORA-01224     group number in header does not match GROUP
981	ORA-01225     thread number is greater than MAXINSTANCES
982	ORA-01226     file header of log member is inconsistent with other members
983	ORA-01227     log is inconsistent with other logs
984	ORA-01228     SET DATABASE option required to install seed database
985	ORA-01229     data file is inconsistent with logs
986	ORA-01230     cannot make read only - file is offline
987	ORA-01231     cannot make read write - file is offline
988	ORA-01232     cannot start online backup - file is being made read-only
989	ORA-01233     file is read only - cannot recover using backup control file
990	ORA-01234     cannot end backup of file - file is in use or recovery
991	ORA-01235     END BACKUP failed for file(s) and succeeded for
992	ORA-01236     Error occurred during initialization of file header access
993	ORA-01237     cannot extend datafile
994	ORA-01238     cannot shrink datafile
995	ORA-01239     database must be in ARCHIVELOG mode to use external cache
996	ORA-01240     too many data files to add in one command
997	ORA-01241     an external cache has died
998	ORA-01242     data file suffered media failure     database in NOARCHIVELOG mode
999	ORA-01243     system tablespace file suffered media failure
1000	ORA-01244     unnamed datafile(s) added to control file by media recovery
1001	ORA-01245     offline file will be lost if RESETLOGS is done
1002	ORA-01246     recovering files through TSPITR of tablespace
1003	ORA-01247     database recovery through TSPITR of tablespace
1004	ORA-01248     file was created in the future of incomplete recovery
1005	ORA-01249     archiving not allowed in a clone database
1006	ORA-01250     Error occurred during termination of file header access
1007	ORA-01251     Unknown File Header Version read for file number
1008	ORA-01252     cannot prevent writes - file in recovery manager backup
1009	ORA-01253     cannot start online backup - file in recovery manager backup
1010	ORA-01254     cannot end online backup - file in recovery manager backup
1011	ORA-01255     cannot shutdown - file in recovery manager backup
1012	ORA-01256     error in locking database file
1013	ORA-01257     cannot reuse database file , unknown file size
1014	ORA-01258     unable to delete temporary file
1015	ORA-01259     unable to delete datafile
1016	ORA-01260     warning     END BACKUP succeeded but some files found not to be in backup mode
1017	ORA-01261     Parameter destination string cannot be translated
1018	ORA-01262     Stat failed on a file destination directory
1019	ORA-01263     Name given for file destination directory is invalid
1020	ORA-01264     Unable to create file name
1021	ORA-01265     Unable to delete
1022	ORA-01266     Unable to create unique file name
1023	ORA-01267     Failure getting date/time
1024	ORA-01268     invalid TEMPFILE clause for alter of permanent TABLESPACE
1025	ORA-01269     Destination parameter string is too long
1026	ORA-01270     operation is not allowed if STANDBY_PRESERVES_NAMES is true
1027	ORA-01271     Unable to create new file name for file
1028	ORA-01272     REUSE only allowed when a file name is provided.
1029	ORA-01273     STANDBY_FILE_MANAGEMENT = AUTO needs COMPATIBLE = or higher
1030	ORA-01274     cannot add datafile '' - file could not be created
1031	ORA-01275     Operation is not allowed if standby file management is automatic.
1032	ORA-01276     Cannot add file . File has an Oracle Managed Files file name.
1033	ORA-01277     file '' already exists
1034	ORA-01278     error creating file ''
1035	ORA-01279     db_files too large
1036	ORA-01280     Fatal LogMiner Error.
1037	ORA-01281     SCN range specified is invalid
1038	ORA-01282     date range specified is invalid
1039	ORA-01283     Options specified is invalid
1040	ORA-01284     file cannot be opened
1041	ORA-01285     error reading file
1042	ORA-01286     start interval required
1043	ORA-01287     file is from a different database incarnation
1044	ORA-01289     cannot add duplicate logfile
1045	ORA-01290     cannot remove unlisted logfile
1046	ORA-01291     missing logfile
1047	ORA-01292     no log file has been specified for the current LogMiner session
1048	ORA-01293     mounted database required for specified LogMiner options
1049	ORA-01294     error occurred while processing information in dictionary file , possible corruption
1050	ORA-01295     DB_ID mismatch between dictionary and logfiles
1051	ORA-01296     character set mismatch between dictionary and logfiles
1052	ORA-01297     redo version mismatch between dictionary and logfiles
1053	ORA-01298     conflicting dictionary option
1054	ORA-01299     dictionary corresponds to a different database incarnation
1055	ORA-01300     writable database required for specified LogMiner options
1056	ORA-01301     error writing to file during flat file build
1057	ORA-01302     dictionary build options missing or incorrect
1058	ORA-01303     subordinate process error     %u. Check alert and trace logs
1059	ORA-01304     subordinate process error. Check alert and trace logs
1060	ORA-01306     dbms_logmnr.start_logmnr() must be invoked before selecting from v$logmnr_contents
1061	ORA-01307     no LogMiner session is currently active
1062	ORA-01308     initialization parameter utl_file_dir is not set
1063	ORA-01309     invalid session
1064	ORA-01310     requested return type not supported by the lcr_mine function
1065	ORA-01311     Illegal invocation of the mine_value function
1066	ORA-01312     Specified table/column does not exist
1067	ORA-01313     LogMiner dictionary column type different from specified type
1068	ORA-01314     Name of the column to be mined should be a string literal
1069	ORA-01315     Log file has been added or removed during select
1070	ORA-01316     Already attached to a Logminer session
1071	ORA-01317     Not attached to a Logminer session
1072	ORA-01319     Invalid Logminer session attribute
1073	ORA-01320     Invalid Logminer dictionar attribute
1074	ORA-01322     No such table
1075	ORA-01323     Invalid state
1076	ORA-01324     cannot add file due to DB_ID mismatch
1077	ORA-01325     archive log mode must be enabled to build into the logstream
1078	ORA-01326     compatability of 9.0 or greater required to build into the logstream
1079	ORA-01327     failed to exclusively lock system dictionary as required by build
1080	ORA-01328     only one build operation may occur at one time
1081	ORA-01329     unable to truncate required build table
1082	ORA-01330     problem loading a required build table
1083	ORA-01331     general error while running build
1084	ORA-01332     internal Logminer Dictionary error
1085	ORA-01333     failed to establish Logminer Dictionary
1086	ORA-01334     invalid or missing logminer dictionary processes context
1087	ORA-01335     feature not yet implemented
1088	ORA-01336     specified dictionary file cannot be opened
1089	ORA-01337     log file has a different compatibility version
1090	ORA-01338     Other process is attached to LogMiner session
1091	ORA-01339     LogMiner BUILD     Error copying system catalog metadata to LogMiner dictionary
1092	ORA-01340     NLS error
1093	ORA-01341     LogMiner out-of-memory
1094	ORA-01342     LogMiner can not resume session due to inability of staging checkpointed data
1095	ORA-01343     LogMiner encountered corruption in the logstream
1096	ORA-01344     LogMiner coordinator already attached
1097	ORA-01345     must be a LogMiner coordinator process
1098	ORA-01346     LogMiner processed redo beyond specified reset log scn
1099	ORA-01347     Supplemental log data no longer found
1100	ORA-01348     LogMiner testing event
1101	ORA-01349     LogMiner tracing event
1102	ORA-01350     must specify a tablespace name
1103	ORA-01351     tablespace given for Logminer dictionary does not exist
1104	ORA-01352     tablespace given for Logminer spill does not exist
1105	ORA-01353     existing Logminer session
1106	ORA-01354     Supplemental log data must be added to run this command
1107	ORA-01355     logminer tablespace change in progress
1108	ORA-01356     active logminer sessions found
1109	ORA-01360     invalid token
1110	ORA-01361     global name mismatch
1111	ORA-01370     Specified restart SCN is too old
1112	ORA-01371     Complete LogMiner dictionary not found
1113	ORA-01372     Insufficient processes for specified LogMiner operation
1114	ORA-01373     insufficient memory for staging persistent LogMiner session
1115	ORA-01374     _log_parallelism_max greater than 1 not supported in this release
1116	ORA-01375     Corrupt logfile recovered
1117	ORA-01376     LogMiner testing event
1118	ORA-01399     LogMiner public event
1119	ORA-01400     cannot insert NULL into ()
1120	ORA-01401     inserted value too large for column
1121	ORA-01402     view WITH CHECK OPTION where-clause violation
1122	ORA-01403     no data found
1123	ORA-01404     ALTER COLUMN will make an index too large
1124	ORA-01405     fetched column value is NULL
1125	ORA-01406     fetched column value was truncated
1126	ORA-01407     cannot update () to NULL
1127	ORA-01408     such column list already indexed
1128	ORA-01409     NOSORT option may not be used; rows are not in ascending order
1129	ORA-01410     invalid ROWID
1130	ORA-01411     cannot store the length of column in the indicator
1131	ORA-01412     zero length not allowed for this datatype
1132	ORA-01413     illegal value in packed decimal number buffer
1133	ORA-01414     invalid array length when trying to bind array
1134	ORA-01415     too many distinct aggregate functions
1135	ORA-01416     two tables cannot be outer-joined to each other
1136	ORA-01417     a table may be outer joined to at most one other table
1137	ORA-01418     specified index does not exist
1138	ORA-01419     datdts     illegal format code
1139	ORA-01420     datstd     illegal format code
1140	ORA-01421     datrnd/dattrn     illegal precision specifier
1141	ORA-01422     exact fetch returns more than requested number of rows
1142	ORA-01423     error encountered while checking for extra rows in exact fetch
1143	ORA-01424     missing or illegal character following the escape character
1144	ORA-01425     escape character must be character string of length 1
1145	ORA-01426     numeric overflow
1146	ORA-01427     single-row subquery returns more than one row
1147	ORA-01428     argument '' is out of range
1148	ORA-01429     Index-Organized Table     no data segment to store overflow row-pieces
1149	ORA-01430     column being added already exists in table
1150	ORA-01431     internal inconsistency in GRANT command
1151	ORA-01432     public synonym to be dropped does not exist
1152	ORA-01433     synonym to be created is already defined
1153	ORA-01434     private synonym to be dropped does not exist
1154	ORA-01435     user does not exist
1155	ORA-01436     CONNECT BY loop in user data
1156	ORA-01437     cannot have join with CONNECT BY
1157	ORA-01438     value larger than specified precision allowed for this column
1158	ORA-01439     column to be modified must be empty to change datatype
1159	ORA-01440     column to be modified must be empty to decrease precision or scale
1160	ORA-01441     cannot decrease column length because some value is too big
1161	ORA-01442     column to be modified to NOT NULL is already NOT NULL
1162	ORA-01443     internal inconsistency; illegal datatype in resultant view column
1163	ORA-01444     internal inconsistency; internal datatype maps to invalid external type
1164	ORA-01445     cannot select ROWID from, or sample, a join view without a key-preserved table
1165	ORA-01446     cannot select ROWID from, or sample, a view with DISTINCT, GROUP BY, etc.
1166	ORA-01447     ALTER TABLE does not operate on clustered columns
1167	ORA-01448     index must be dropped before changing to desired type
1168	ORA-01449     column contains NULL values; cannot alter to NOT NULL
1169	ORA-01450     maximum key length () exceeded
1170	ORA-01451     column to be modified to NULL cannot be modified to NULL
1171	ORA-01452     cannot CREATE UNIQUE INDEX; duplicate keys found
1172	ORA-01453     SET TRANSACTION must be first statement of transaction
1173	ORA-01454     cannot convert column into numeric datatype
1174	ORA-01455     converting column overflows integer datatype
1175	ORA-01456     may not perform insert/delete/update operation inside a READ ONLY transaction
1176	ORA-01457     converting column overflows decimal datatype
1177	ORA-01458     invalid length inside variable character string
1178	ORA-01459     invalid length for variable character string
1179	ORA-01460     unimplemented or unreasonable conversion requested
1180	ORA-01461     can bind a LONG value only for insert into a LONG column
1181	ORA-01462     cannot insert string literals longer than 4000 characters
1182	ORA-01463     cannot modify column datatype with current constraint(s)
1183	ORA-01464     circular grant (granting to grant ancestor) of table or view
1184	ORA-01465     invalid hex number
1185	ORA-01466     unable to read data - table definition has changed
1186	ORA-01467     sort key too long
1187	ORA-01468     a predicate may reference only one outer-joined table
1188	ORA-01469     PRIOR can only be followed by a column name
1189	ORA-01470     In-list iteration does not support mixed operators
1190	ORA-01471     cannot create a synonym with same name as object
1191	ORA-01472     cannot use CONNECT BY on view with DISTINCT, GROUP BY, etc.
1192	ORA-01473     cannot have subqueries in CONNECT BY clause
1193	ORA-01474     cannot have START WITH or PRIOR without CONNECT BY
1194	ORA-01475     must reparse cursor to change bind variable datatype
1195	ORA-01476     divisor is equal to zero
1196	ORA-01477     user data area descriptor is too large
1197	ORA-01478     array bind may not include any LONG columns
1198	ORA-01479     last character in the buffer is not Null
1199	ORA-01480     trailing null missing from STR bind value
1200	ORA-01481     invalid number format model
1201	ORA-01482     unsupported character set
1202	ORA-01483     invalid length for DATE or NUMBER bind variable
1203	ORA-01484     arrays can only be bound to PL/SQL statements
1204	ORA-01485     compile bind length different from execute bind length
1205	ORA-01486     size of array element is too large
1206	ORA-01487     packed decimal number too large for supplied buffer
1207	ORA-01488     invalid nibble or byte in the input data
1208	ORA-01489     result of string concatenation is too long
1209	ORA-01490     invalid ANALYZE command
1210	ORA-01491     CASCADE option not valid
1211	ORA-01492     LIST option not valid
1212	ORA-01493     invalid SAMPLE size specified
1213	ORA-01494     invalid SIZE specified
1214	ORA-01495     specified chain row table not found
1215	ORA-01496     specified chain row table form incorrect
1216	ORA-01497     illegal option for ANALYZE CLUSTER
1217	ORA-01498     block check failure - see trace file
1218	ORA-01499     table/index cross reference failure - see trace file
1219	ORA-01500     failure in getting date/time
1220	ORA-01501     CREATE DATABASE failed
1221	ORA-01502     index '.' or partition of such index is in unusable state
1222	ORA-01503     CREATE CONTROLFILE failed
1223	ORA-01504     database name '' does not match parameter db_name ''
1224	ORA-01505     error in adding log files
1225	ORA-01506     missing or illegal database name
1226	ORA-01507     database not mounted
1227	ORA-01508     cannot create database; error in file '' at line
1228	ORA-01509     specified name '' does not match actual ''
1229	ORA-01510     error in deleting log files
1230	ORA-01511     error in renaming log/data files
1231	ORA-01512     error renaming log file - new file not found
1232	ORA-01513     invalid current time returned by operating system
1233	ORA-01514     error in log specification     no such log
1234	ORA-01515     error dropping log group      no such log
1235	ORA-01516     nonexistent log file, datafile, or tempfile ""
1236	ORA-01517     log member     ''
1237	ORA-01518     CREATE DATABASE must specify more than one log file
1238	ORA-01519     error while processing file '' near line
1239	ORA-01520     number of data files to add () exceeds limit of
1240	ORA-01521     error in adding data files
1241	ORA-01522     file '' to be renamed does not exist
1242	ORA-01523     cannot rename data file to '' - file already part of database
1243	ORA-01524     cannot create data file as '' - file already part of database
1244	ORA-01525     error in renaming data files
1245	ORA-01526     error in opening file ''
1246	ORA-01527     error while reading file
1247	ORA-01528     EOF while processing SQL statement
1248	ORA-01529     error closing file ''
1249	ORA-01530     a database already mounted by the instance
1250	ORA-01531     a database already open by the instance
1251	ORA-01532     cannot create database; instance being started elsewhere
1252	ORA-01533     cannot rename file ''; file does not belong to tablespace
1253	ORA-01534     rollback segment '' doesn't exist
1254	ORA-01535     rollback segment '' already exists
1255	ORA-01536     space quota exceeded for tablespace ''
1256	ORA-01537     cannot add file '' - file already part of database
1257	ORA-01538     failed to acquire any rollback segment
1258	ORA-03110     oranet     ORACLE does not support this SQL version
1259	ORA-03111     break received on communication channel
1260	ORA-03112     a server linked as single-task cannot use SQL*Net
1261	ORA-03113     end-of-file on communication channel
1262	ORA-03114     not connected to ORACLE
1263	ORA-03115     unsupported network datatype or representation
1264	ORA-03116     invalid buffer length passed to a conversion routine
1265	ORA-03117     two-task save area overflow
1266	ORA-03118     two-task coroutine has invalid state
1267	ORA-03119     two-task detected inconsistent datatype specification
1268	ORA-03120     two-task conversion routine     integer overflow
1269	ORA-03121     no interface driver connected - function not performed
1270	ORA-03122     attempt to close ORACLE-side window on user side
1271	ORA-03123     operation would block
1272	ORA-03124     two-task internal error
1273	ORA-03125     client-server protocol violation
1274	ORA-03126     network driver does not support non-blocking operations
1275	ORA-03127     no new operations allowed until the active operation ends
1276	ORA-03128     connection is in blocking mode
1277	ORA-03129     the next piece to be inserted is required
1278	ORA-03130     the buffer for the next piece to be fetched is required
1279	ORA-03131     an invalid buffer was provided for the next piece
1280	ORA-03132     two-task default value overflow
1281	ORA-03133     piggyback function error
1282	ORA-03134     Connections to this server version are no longer supported.
1283	ORA-03135     connection lost contact
1284	ORA-03136     inbound connection timed out
1285	ORA-03200     the segment type specification is invalid
1286	ORA-03201     the group number specification is invalid
1287	ORA-03202     the scan limit specification is invalid
1288	ORA-03203     concurrent update activity makes space analysis impossible
1289	ORA-03204     the segment type specification should indicate partitioning
1290	ORA-03205     partition name is required when partitioned type is specified
1291	ORA-03206     maximum file size of () blocks in AUTOEXTEND clause is out of range
1292	ORA-03207     subpartitioned type must be specified for composite object
1293	ORA-03208     partitioned type must be specified for a non-composite object
1294	ORA-03209     DBMS_ADMIN_PACKAGE invalid file/block specification
1295	ORA-03210     DBMS_ADMIN_PACKAGE invalid option specification
1296	ORA-03211     The segment does not exist or is not in a valid state
1297	ORA-03212     Temporary Segment cannot be created in locally-managed tablespace
1298	ORA-03213     Invalid Lob Segment Name for DBMS_SPACE package
1299	ORA-03214     File Size specified is smaller than minimum required
1300	ORA-03215     File Size specified for resize is too small
1301	ORA-03216     Tablespace/Segment Verification cannot proceed
1302	ORA-03217     invalid option for alter of TEMPORARY TABLESPACE
1303	ORA-03218     invalid option for CREATE/ALTER TABLESPACE
1304	ORA-03219     Tablespace '' is dictionary-managed, offline or temporary
1305	ORA-03220     DBMS_ADMIN_PACKAGE required parameter is NULL or missing
1306	ORA-03221     Temporary tablespaces and temporary segments must have standard block size
1307	ORA-03222     average row size and row count must be greater than zero
1308	ORA-03230     segment only contains blocks of unused space above high water mark
1309	ORA-03231     the INITIAL extent may not be deallocated
1310	ORA-03233     unable to extend table . subpartition by in tablespace
1311	ORA-03234     unable to extend index . subpartition by in tablespace
1312	ORA-03235     max # extents () reached in table . subpartition
1313	ORA-03236     max # extents () reached in index . subpartition
1314	ORA-03237     Initial Extent of specified size cannot be allocated in tablespace ()
1315	ORA-03238     unable to extend LOB segment . subpartition by in tablespace
1316	ORA-03239     maxextents () reached in LOB segment . subpartition
1317	ORA-03240     User's temporary tablespace same as tablespace being migrated
1318	ORA-03241     Invalid unit size
1319	ORA-03242     Tablespace migration retried 500 times
1320	ORA-03243     destination dba overlaps with existing control information
1321	ORA-03244     No free space found to place the control information
1322	ORA-03245     Tablespace has to be dictionary managed, online and permanent to be able to migrate
1323	ORA-03246     Invalid block number specified
1324	ORA-03247     Invalid block number specified
1325	ORA-03248     Too much of segment creation activity during migration
1326	ORA-03249     Uniform size for auto segment space managed tablespace should have atleast blocks
1327	ORA-03250     Cannot mark this segment corrupt
1328	ORA-03251     Cannot issue this command on SYSTEM tablespace
1329	ORA-03252     initial extent size not enough for LOB segment
1330	ORA-03254     unable to execute the sql in read only database
1331	ORA-03261     the tablespace has only one file
1332	ORA-03262     the file is non-empty
1333	ORA-03263     cannot drop the first file of tablespace
1334	ORA-03264     cannot drop offline datafile of locally managed tablespace
1335	ORA-03274     both ALLOCATE EXTENT and DEALLOCATE UNUSED options are specified
1336	ORA-03275     duplicate DEALLOCATE option specification
1337	ORA-03276     duplicate ALLOCATE EXTENT option specification
1338	ORA-03277     invalid SIZE specified
1339	ORA-03278     duplicate ALLOCATE EXTENT option specification
1340	ORA-03279     invalid INSTANCE specified
1341	ORA-03280     invalid DATAFILE filename specified
1342	ORA-03281     invalid ALLOCATE EXTENT option
1343	ORA-03282     missing ALLOCATE EXTENT option
1344	ORA-03283     specified datafile does not exist
1345	ORA-03284     datafile or tempfile is not a member of tablespace
1346	ORA-03286     ALLOCATE EXTENT not valid for HASH CLUSTERS
1347	ORA-03287     invalid FREELIST GROUP specified
1348	ORA-03288     both FREELIST GROUP and INSTANCE parameters may not be specified
1349	ORA-03289     partition name and segment type do not match
1350	ORA-03290     Invalid truncate command - missing CLUSTER or TABLE keyword
1351	ORA-03291     Invalid truncate option - missing STORAGE keyword
1352	ORA-03292     Table to be truncated is part of a cluster
1353	ORA-03293     Cluster to be truncated is a HASH CLUSTER
1354	ORA-03296     cannot resize datafile - file not found
1355	ORA-03297     file contains used data beyond requested RESIZE value
1356	ORA-03298     cannot shrink datafile - file is under hot backup
1357	ORA-03299     cannot create dictionary table
1358	ORA-04000     the sum of PCTUSED and PCTFREE cannot exceed 100
1359	ORA-04001     sequence parameter must be an integer
1360	ORA-04002     INCREMENT must be a non-zero integer
1361	ORA-04003     sequence parameter exceeds maximum size allowed ( digits)
1362	ORA-04004     MINVALUE must be less than MAXVALUE
1363	ORA-04005     INCREMENT must be less than MAXVALUE minus MINVALUE
1364	ORA-04006     START WITH cannot be less than MINVALUE
1365	ORA-04007     MINVALUE cannot be made to exceed the current value
1366	ORA-04008     START WITH cannot be more than MAXVALUE
1367	ORA-04009     MAXVALUE cannot be made to be less than the current value
1368	ORA-04010     the number of values to CACHE must be greater than 1
1369	ORA-04011     sequence must range between and
1370	ORA-04012     object is not a sequence
1371	ORA-04013     number to CACHE must be less than one cycle
1372	ORA-04014     descending sequences that CYCLE must specify MINVALUE
1373	ORA-04015     ascending sequences that CYCLE must specify MAXVALUE
1374	ORA-04016     sequence no longer exists
1375	ORA-04017     invalid value (length = ) for parameter max_dump_file_size
1376	ORA-04020     deadlock detected while trying to lock object
1377	ORA-04021     timeout occurred while waiting to lock object
1378	ORA-04022     nowait requested, but had to wait to lock dictionary object
1379	ORA-04023     summary object could not be validated
1380	ORA-04027     self-deadlock during automatic validation for object .
1381	ORA-04028     cannot generate diana for object
1382	ORA-04029     error ORA- occurred when querying
1383	ORA-04030     out of process memory when trying to allocate bytes (,)
1384	ORA-04031     unable to allocate bytes of shared memory ("","","","")
1385	ORA-04032     pga_aggregate_target must be set before switching to auto mode
1386	ORA-04033     Insufficient memory to grow pool
1387	ORA-04034     unable to shrink pool to specified size
1388	ORA-04041     package specification must be created first before creating package body
1389	ORA-04042     procedure, function, package, or package body does not exist
1390	ORA-04043     object does not exist
1391	ORA-04044     procedure, function, package, or type is not allowed here
1392	ORA-04045     errors during recompilation/revalidation of .
1393	ORA-04046     results of compilation are too large to support
1394	ORA-04047     object specified is incompatible with the flag specified
1395	ORA-04050     invalid or missing procedure, function, or package name
1396	ORA-04051     user cannot use database link .
1397	ORA-04052     error occurred when looking up remote object
1398	ORA-04053     error occurred when validating remote object
1399	ORA-04054     database link does not exist
1400	ORA-04055     Aborted     "" formed a non-REF mutually-dependent cycle with "".
1401	ORA-04060     insufficient privileges to execute
1402	ORA-04061     existing state of has been invalidated
1403	ORA-04062     of has been changed
1404	ORA-04063     has errors
1405	ORA-04064     not executed, invalidated
1406	ORA-04065     not executed, altered or dropped
1407	ORA-04066     non-executable object,
1408	ORA-04067     not executed, does not exist
1409	ORA-04068     existing state of packages has been discarded
1410	ORA-04069     cannot drop or replace a library with table dependents
1411	ORA-04070     invalid trigger name
1412	ORA-04071     missing BEFORE, AFTER or INSTEAD OF keyword
1413	ORA-04072     invalid trigger type
1414	ORA-04073     column list not valid for this trigger type
1415	ORA-04074     invalid REFERENCING name
1416	ORA-04075     invalid trigger action
1417	ORA-04076     invalid NEW or OLD specification
1418	ORA-04077     WHEN clause cannot be used with table level triggers
1419	ORA-04078     OLD and NEW values cannot be identical
1420	ORA-04079     invalid trigger specification
1421	ORA-04080     trigger '' does not exist
1422	ORA-04081     trigger '' already exists
1423	ORA-04082     NEW or OLD references not allowed in table level triggers
1424	ORA-04083     invalid trigger variable '%*.s'
1425	ORA-04084     cannot change NEW values for this trigger type
1426	ORA-04085     cannot change the value of an OLD reference variable
1427	ORA-04086     trigger description too long, move comments into triggering code
1428	ORA-04087     cannot change the value of ROWID reference variable
1429	ORA-04088     error during execution of trigger '.'
1430	ORA-04089     cannot create triggers on objects owned by SYS
1431	ORA-04090     '' specifies same table, event and trigger time as ''
1432	ORA-04091     table . is mutating, trigger/function may not see it
1433	ORA-04092     cannot in a trigger
1434	ORA-04093     references to columns of type LONG are not allowed in triggers
1435	ORA-04094     table . is constraining, trigger may not modify it
1436	ORA-04095     trigger '' already exists on another table, cannot replace it
1437	ORA-04096     trigger '' has a WHEN clause which is too large, limit 2K
1438	ORA-04097     DDL conflict while trying to drop or alter a trigger
1439	ORA-04098     trigger '.' is invalid and failed re-validation
1440	ORA-04099     trigger '' is valid but not stored in compiled form
1441	ORA-04930     open sequence number failed or initial state is valid
1442	ORA-04931     unable to set initial sequence number value
1443	ORA-04932     increment or adjust of sequence number failed
1444	ORA-04933     initial service identifier is non-zero
1445	ORA-04934     unable to obtain the current sequence number
1446	ORA-04935     unable to get/convert SCN recovery lock
1447	ORA-04940     unsupported optimization of Oracle binary, check alert log for more info
1448	ORA-04941     required operating system patch needs to be applied
1449	ORA-06000     NETASY     port open failure
1450	ORA-06001     NETASY     port set-up failure
1451	ORA-06002     NETASY     port read failure
1452	ORA-06003     NETASY     port write failure
1453	ORA-06004     NETASY     dialogue file open failure
1454	ORA-06005     NETASY     dialogue file read failure
1455	ORA-06006     NETASY     dialogue execute failure
1456	ORA-06007     NETASY     bad dialogue format
1457	ORA-06009     NETASY     dialogue filename too long
1458	ORA-06010     NETASY     dialogue file too long
1459	ORA-06011     NETASY     dialogue too long
1460	ORA-06017     NETASY     message receive failure
1461	ORA-06018     NETASY     message send failure
